,f0,f1,f2,f3,f4,f6,f5,f7,f8,f9,f10,f11,f12,label
0,2282,33,321,9792,20,498,7735,2,0,0,0,0,1,2
1,267,30,82,2368,3,65,2254,2,4,0,0,0,0,1
2,3509,556,587,22505,65,564,17699,7,4,0,1,0,0,1
3,3331,132,598,11715,58,713,8896,2,1,0,0,0,0,3
4,471,41,46,2082,3,146,2269,3,2,0,0,1,1,1
5,251,17,62,2679,11,156,3997,0,2,0,0,1,0,1
6,1251,107,215,4680,38,203,4777,0,3,0,0,0,1,2
7,2607,626,944,9412,87,230,7108,2,2,0,0,0,0,1
8,2414,571,1152,9243,74,158,6029,0,2,0,0,0,0,1
9,2949,484,273,10611,30,339,5913,2,0,0,0,2,3,1
10,1078,186,88,10172,6,302,9226,3,1,0,0,1,0,1
11,3301,943,1110,18030,157,842,10966,2,1,0,0,0,0,1
12,1805,357,325,9034,20,568,8029,2,2,0,0,0,0,1
13,1934,503,703,11691,137,533,13769,1,1,0,0,0,0,1
14,1352,265,395,8908,68,576,12703,3,1,0,1,1,4,1
15,123,22,110,1938,10,65,2070,2,1,0,0,2,1,4
16,319,88,71,3341,13,63,2987,34,15,1,3,3,0,1
17,122,0,26,470,2,19,643,11,5,0,1,0,0,1
18,2398,481,502,15046,39,309,9646,0,2,0,0,1,0,1
19,2413,128,407,8141,37,251,7488,4,5,0,0,0,0,1
20,2946,134,1032,16751,128,732,19640,0,0,0,0,0,1,2
21,607,142,151,2951,26,129,2648,4,2,0,1,2,0,1
22,3452,354,558,20567,72,693,18241,0,0,0,0,0,1,1
23,2179,54,217,12784,23,294,10418,5,1,0,1,1,0,1
24,3289,1520,1213,19654,177,933,12739,0,1,0,0,0,0,1
25,2268,513,510,14786,47,1095,11671,1,1,0,0,0,0,1
26,2685,186,340,20551,68,480,19890,1,0,0,0,0,1,1
27,2816,261,455,13261,43,521,9912,8,3,0,0,0,0,1
28,2397,631,460,17397,74,1483,21187,3,1,0,0,0,0,1
29,212,80,40,1287,10,43,1556,5,8,0,3,3,0,1
30,1766,385,416,9641,65,162,8384,2,1,0,0,3,0,1
31,309,18,44,1653,6,82,1661,4,2,0,1,0,0,1
32,2280,1458,910,21086,97,439,24372,4,18,0,0,1,1,1
33,708,90,156,3310,14,70,2448,3,8,0,0,0,0,1
34,2494,162,320,9172,39,927,7576,3,1,0,0,0,0,1
35,1111,262,229,9962,42,235,7168,1,2,0,0,1,0,1
36,928,65,128,4409,11,125,3849,1,5,1,1,0,0,1
37,1387,232,343,6672,28,161,7019,1,3,0,0,1,0,1
38,867,150,52,4373,5,60,2687,1,1,0,2,0,0,1
39,1692,257,887,8377,55,497,8523,1,1,0,0,0,2,1
40,2093,395,577,14913,56,400,12763,4,3,0,0,0,0,1
41,3291,348,553,14240,55,754,11235,3,1,0,1,1,0,1
42,999,331,418,8163,73,217,6010,2,1,0,0,0,0,1
43,2220,199,498,10234,62,244,9083,6,6,0,1,0,0,1
44,487,129,90,5538,15,197,6155,14,6,0,3,2,0,1
45,3208,386,209,20986,31,716,22231,0,3,0,0,0,0,1
46,663,12,90,5750,14,169,10765,0,0,0,0,0,1,1
47,1301,161,223,7443,25,225,8263,12,6,0,1,6,0,1
48,1348,231,311,6888,33,441,5864,2,1,0,0,0,0,1
49,2184,128,522,9516,62,309,9436,2,1,0,0,1,0,1
50,158,8,48,1069,6,33,1303,10,3,0,0,1,0,6
51,3324,741,1048,16091,121,718,10492,0,2,0,0,0,1,7
52,4231,692,542,19549,78,1563,20987,2,4,0,0,0,0,1
53,946,214,294,7325,29,672,7823,6,1,0,1,0,0,7
54,1408,136,342,5709,46,162,5249,3,1,0,0,0,0,8
55,2200,471,1233,16511,115,676,13545,0,0,0,0,0,2,1
56,86,3,30,666,6,22,697,5,1,0,0,0,0,1
57,4783,656,1113,20405,173,1530,21831,0,0,0,0,0,0,1
58,3097,210,651,16783,98,881,17347,3,1,0,0,3,0,1
59,2475,224,213,12311,31,748,11300,7,6,0,0,3,0,1
60,1851,393,461,9349,53,356,8532,2,2,0,0,0,0,1
61,1492,124,229,21798,30,356,23212,14,5,0,1,0,0,1
62,1874,286,128,9831,10,165,8263,4,2,0,0,0,0,1
63,2250,348,246,18849,44,475,14587,12,5,1,1,2,0,1
64,1190,496,288,11633,23,430,10361,5,7,0,0,1,0,1
